zip_code,sumtotal
55129,1488
86303,1488
98516,1488
93420,1487
11361,1485
20784,1485
90815,1485
92123,1485
63104,1483
21702,1482
60618,1480
01864,1479
94954,1479
97206,1478
02127,1477
45701,1476
83843,1476
07762,1475
08840,1475
46260,1475
84403,1475
11720,1474
32168,1469.18
78734,1469
84738,1466
01106,1465
81403,1465
93012,1464
79912,1463.16
28711,1463
10552,1461
85016,1461
93013,1461
11225,1460
43560,1460
95123,1459
19390,1457
22031,1457
43235,1456
48322,1451
20124,1450
21811,1450
37604,1450
46616,1450
96720,1450
19702,1448
99350,1448
78413,1446
90008,1446
94509,1445
95821,1445
92604,1444
19073,1440.5
20194,1440
20781,1440
92128,1440
07076,1438.5
17325,1438
34202,1438
05201,1436
73120,1435.5
11104,1433
90703,1433
11216,1432
03801,1431
20855,1431
21797,1430
60646,1429
06853,1428
02809,1425
70810,1425
01267,1424
75218,1423
95401,1422
10475,1421
61821,1417
06340,1415
94108,1415
53504,1413
80233,1413
11101,1410
40222,1406
81601,1406
33160,1405
06482,1404
58103,1404
33180,1403
91942,1401.5
02356,1401
53590,1400
54016,1400
60089,1400
89503,1400
20769,1398
33705,1398
19807,1397.66
30022,1395
98155,1394
92612,1393.16
86305,1393
94806,1393
02813,1392
28712,1391
29615,1390
49423,1390
06412,1388
21207,1387
38117,1387
97404,1386
01520,1385
44333,1385
97211,1385
10549,1383
15658,1381
44224,1380
96817,1380
19809,1377
92867,1376
19046,1375.75
80109,1375
85118,1375
12533,1373
06801,1371
20770,1371
15024,1370
38139,1370
46375,1370
80521,1370
75001,1369
60060,1367
15243,1366
78664,1366
01075,1365
19350,1365
87120,1365
02632,1364
23664,1364
48176,1362
63005,1362
02148,1360
80127,1360
98249,1360
33434,1359
32751,1357.18
10983,1357
22315,1355
66048,1355
85024,1355
92127,1353
06783,1350
10006,1350
18020,1350
43220,1350
95136,1350
21224,1348
62711,1347
98092,1344
04263,1343
94134,1343
22033,1341
95688,1341
19003,1337
13104,1336
97321,1336
98087,1336
33411,1335
76209,1335
66044,1334
19107,1333.66
96815,1332
29617,1331
10590,1330
13066,1330
85705,1330
48116,1329
35244,1326
95833,1325
19095,1324
95928,1324
80538,1321
66207,1317
45056,1316
61764,1316
98021,1316
18360,1315
60056,1312
33032,1311.25
06013,1311
48214,1310.5
80911,1310.18
34233,1310.1799999999998
17408,1310
98684,1310
79902,1309
19422,1306
47630,1306
48070,1304
06855,1303
43623,1303
45230,1303
80015,1303
03883,1300
23435,1300
46205,1300
49301,1300
95691,1299
75243,1298
34109,1295.18
07628,1295
48603,1295
55057,1294
01801,1293
78729,1293
06002,1291.5
80226,1291
01913,1290
10803,1290
94564,1290
48236,1288
08060,1287
90232,1287
30075,1286
91910,1286
56001,1285
34231,1283
64157,1283
20851,1281
90042,1279
93550,1279
95648,1278
08054,1277
48202,1276
89436,1276
02215,1275
07070,1275
73026,1275
91007,1275
93643,1275
11976,1272
27403,1272
80016,1270.18
03079,1270
03458,1270
20020,1270
97322,1270
70119,1269
46530,1268
96813,1268
75248,1266
02905,1265
20877,1265
23692,1265
50401,1265
67230,1265
81224,1265
60645,1264
04915,1263
90804,1263
08055,1262
39759,1261
55407,1261
90720,1261
29926,1260
32601,1260
33928,1260
39571,1260
07458,1258
19026,1257
52317,1257
19081,1256
80222,1255
81623,1255
85710,1255
87112,1255
86351,1254
01453,1253
94551,1252
40509,1251
01923,1250
11206,1250
11784,1250
14204,1250
20657,1250
23693,1250
49093,1250
53204,1250
55356,1250
64468,1250
98261,1250
34238,1248
97702,1248
30331,1247
48302,1246
60435,1246
91354,1245
02568,1244
92835,1244
01938,1243
92234,1243
48301,1242
78676,1242
33312,1241.58
34685,1241
80215,1241
11795,1240
94937,1240
05445,1239
18947,1238
01746,1237
32233,1236
91801,1235.18
10524,1235
11105,1235
46143,1235
91784,1233
30268,1230
33990,1230
93306,1230
97267,1229
85624,1226
95460,1226
33401,1225
36617,1225
31411,1224
08525,1223
58201,1223
91737,1220
92648,1220
94928,1220
32137,1219
92675,1219
10506,1218
48220,1218
17404,1215.75
14131,1215
98243,1215
11418,1214
32653,1214
93422,1213
98270,1213
07928,1212
92313,1211
19810,1210
85258,1210
93003,1210
81147,1209
92118,1209
10960,1208
27518,1208
43229,1205
77063,1205
11577,1201
90065,1201
11378,1200
33024,1200
44140,1200
60044,1200
77840,1200
77550,1199
85207,1199
27408,1198
35222,1198
80601,1198
19143,1197
33131,1196
19444,1195.5
44094,1195
70131,1195
19301,1193
32832,1192
29223,1191.5
63110,1190
10035,1189
10566,1188.75
95747,1186
23185,1185
33913,1185
38017,1185
43230,1185
48154,1185
68154,1185
33912,1184
10040,1182.18
11355,1179
77954,1179
92054,1178
34114,1177.66
49686,1176
03854,1175
61201,1174
95602,1174
27278,1173
90814,1171
29909,1170
11590,1169
40502,1169
05602,1168
07922,1168
24014,1168
57702,1168
33040,1167
53125,1167
98250,1165
55347,1164.1599999999999
48335,1161
01775,1160
33019,1160
93908,1160
94545,1160
02879,1158
80123,1156
06854,1155
11229,1155
22172,1154
94951,1154
78732,1153
04107,1152
60526,1152
80904,1152
10606,1151
77381,1151
06057,1150
17016,1150
20896,1150
34239,1150
38104,1150
38120,1150
49781,1150
75229,1150
84532,1150
85086,1150
77494,1149
02048,1148
85259,1148
44113,1146.18
02186,1145
77074,1145
92501,1144
10547,1143
14527,1142
60126,1142
53545,1141
02914,1140
14472,1140
27615,1140
89169,1140
90732,1138
20603,1137.5
07039,1137
01062,1136
05672,1136
27614,1136
14085,1135
19968,1135
64114,1135
88007,1135
12065,1134
29455,1134
37405,1133
61822,1133
63119,1132
